sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
1     1     1     1       1       3       3      2.31343e+223  6s186_bdd.blif
2     1     1     2       2       6       3      2.31343e+223  6s186_bdd.blif
3     1     1     3       2       6       3      2.31343e+223  6s186_bdd.blif
4     1     1     4       2       6       3      2.31343e+223  6s186_bdd.blif
5     1     1     5       2       6       3      2.31343e+223  6s186_bdd.blif
6     1     1     10      2       6       3      2.31343e+223  6s186_bdd.blif
7     1     1     20      2       6       3      2.31343e+223  6s186_bdd.blif
8     1     5     1       1       3       3      2.31343e+223  6s186_bdd.blif
9     1     5     2       2       6       3      2.31343e+223  6s186_bdd.blif
10    1     5     3       2       6       3      2.31343e+223  6s186_bdd.blif
11    1     5     4       2       6       3      2.31343e+223  6s186_bdd.blif
12    1     5     5       2       6       3      2.31343e+223  6s186_bdd.blif
13    1     5     10      2       6       3      2.31343e+223  6s186_bdd.blif
14    1     5     20      2       6       3      2.31343e+223  6s186_bdd.blif
15    1     10    1       1       3       3      2.31343e+223  6s186_bdd.blif
16    1     10    2       2       6       3      2.31343e+223  6s186_bdd.blif
17    1     10    3       2       6       3      2.31343e+223  6s186_bdd.blif
18    1     10    4       2       6       3      2.31343e+223  6s186_bdd.blif
19    1     10    5       2       6       3      2.31343e+223  6s186_bdd.blif
20    1     10    10      2       6       3      2.31343e+223  6s186_bdd.blif
21    1     10    20      2       6       3      2.31343e+223  6s186_bdd.blif
22    5     1     1       1       4       4      2.31343e+223  6s186_bdd.blif
23    5     1     2       2       8       4      2.31343e+223  6s186_bdd.blif
24    5     1     3       2       8       4      2.31343e+223  6s186_bdd.blif
25    5     1     4       2       8       4      2.31343e+223  6s186_bdd.blif
26    5     1     5       2       8       4      2.31343e+223  6s186_bdd.blif
27    5     1     10      2       8       4      2.31343e+223  6s186_bdd.blif
28    5     1     20      2       8       4      2.31343e+223  6s186_bdd.blif
29    5     5     1       1       4       4      2.31343e+223  6s186_bdd.blif
30    5     5     2       2       8       4      2.31343e+223  6s186_bdd.blif
31    5     5     3       2       8       4      2.31343e+223  6s186_bdd.blif
32    5     5     4       2       8       4      2.31343e+223  6s186_bdd.blif
33    5     5     5       2       8       4      2.31343e+223  6s186_bdd.blif
34    5     5     10      2       8       4      2.31343e+223  6s186_bdd.blif
35    5     5     20      2       8       4      2.31343e+223  6s186_bdd.blif
36    5     10    1       1       4       4      2.31343e+223  6s186_bdd.blif
37    5     10    2       0       4       0      NA            6s186_bdd.blif
38    5     10    3       0       4       0      NA            6s186_bdd.blif
39    5     10    4       0       4       0      NA            6s186_bdd.blif
40    5     10    5       0       4       0      NA            6s186_bdd.blif
41    5     10    10      0       4       0      NA            6s186_bdd.blif
42    5     10    20      0       4       0      NA            6s186_bdd.blif
43    10    1     1       1       4       4      2.31343e+223  6s186_bdd.blif
44    10    1     2       2       8       4      2.31343e+223  6s186_bdd.blif
45    10    1     3       2       8       4      2.31343e+223  6s186_bdd.blif
46    10    1     4       2       8       4      2.31343e+223  6s186_bdd.blif
47    10    1     5       2       8       4      2.31343e+223  6s186_bdd.blif
48    10    1     10      2       8       4      2.31343e+223  6s186_bdd.blif
49    10    1     20      2       8       4      2.31343e+223  6s186_bdd.blif
50    10    5     1       1       4       4      2.31343e+223  6s186_bdd.blif
51    10    5     2       2       8       4      2.31343e+223  6s186_bdd.blif
52    10    5     3       2       8       4      2.31343e+223  6s186_bdd.blif
53    10    5     4       2       8       4      2.31343e+223  6s186_bdd.blif
54    10    5     5       2       8       4      2.31343e+223  6s186_bdd.blif
55    10    5     10      2       8       4      2.31343e+223  6s186_bdd.blif
56    10    5     20      2       8       4      2.31343e+223  6s186_bdd.blif
57    10    10    1       1       4       4      2.31343e+223  6s186_bdd.blif
58    10    10    2       0       4       0      NA            6s186_bdd.blif
59    10    10    3       0       4       0      NA            6s186_bdd.blif
60    10    10    4       0       4       0      NA            6s186_bdd.blif
61    10    10    5       0       4       0      NA            6s186_bdd.blif
62    10    10    10      0       4       0      NA            6s186_bdd.blif
63    10    10    20      0       4       0      NA            6s186_bdd.blif
64    20    1     1       1       4       4      2.31343e+223  6s186_bdd.blif
65    20    1     2       2       8       4      2.31343e+223  6s186_bdd.blif
66    20    1     3       2       8       4      2.31343e+223  6s186_bdd.blif
67    20    1     4       2       8       4      2.31343e+223  6s186_bdd.blif
68    20    1     5       2       8       4      2.31343e+223  6s186_bdd.blif
69    20    1     10      2       8       4      2.31343e+223  6s186_bdd.blif
