sno  clip   time         num            file
     depth  taken        soln           name
            (sec)             
---  ---    ---          ---            ---
1    10     NA           NA             6s0_bdd.blif
2    20     NA           NA             6s0_bdd.blif
3    30     NA           NA             6s0_bdd.blif
4    40     NA           NA             6s0_bdd.blif
5    50     NA           NA             6s0_bdd.blif
6    75     NA           NA             6s0_bdd.blif
7    100    NA           NA             6s0_bdd.blif
8    200    NA           NA             6s0_bdd.blif
9    300    NA           NA             6s0_bdd.blif
10   400    NA           NA             6s0_bdd.blif
11   800    NA           NA             6s0_bdd.blif
12   1600   NA           NA             6s0_bdd.blif
13   10     NA           NA             6s105_bdd.blif
14   20     NA           NA             6s105_bdd.blif
15   30     NA           NA             6s105_bdd.blif
16   40     NA           NA             6s105_bdd.blif
17   50     NA           NA             6s105_bdd.blif
18   75     NA           NA             6s105_bdd.blif
19   100    NA           NA             6s105_bdd.blif
20   200    NA           NA             6s105_bdd.blif
21   300    NA           NA             6s105_bdd.blif
22   400    NA           NA             6s105_bdd.blif
23   800    NA           NA             6s105_bdd.blif
24   1600   NA           NA             6s105_bdd.blif
25   10     NA           NA             6s109_bdd.blif
26   20     NA           NA             6s109_bdd.blif
27   30     NA           NA             6s109_bdd.blif
28   40     NA           NA             6s109_bdd.blif
29   50     NA           NA             6s109_bdd.blif
30   75     NA           NA             6s109_bdd.blif
31   100    NA           NA             6s109_bdd.blif
32   200    NA           NA             6s109_bdd.blif
33   300    NA           NA             6s109_bdd.blif
34   400    NA           NA             6s109_bdd.blif
35   800    NA           NA             6s109_bdd.blif
36   1600   NA           NA             6s109_bdd.blif
37   10     0.0248209    8.30767e+34    6s120_bdd.blif
38   20     0.000849423  8.30767e+34    6s120_bdd.blif
39   30     0.00121678   8.30767e+34    6s120_bdd.blif
40   40     0.00157249   8.30767e+34    6s120_bdd.blif
41   50     0.0019375    8.30767e+34    6s120_bdd.blif
42   75     4.31695      8.30767e+34    6s120_bdd.blif
43   100    NA           NA             6s120_bdd.blif
44   200    NA           NA             6s120_bdd.blif
45   300    NA           NA             6s120_bdd.blif
46   400    NA           NA             6s120_bdd.blif
47   800    NA           NA             6s120_bdd.blif
48   1600   NA           NA             6s120_bdd.blif
49   10     0.0418034    4.34656e+332   6s134_bdd.blif
50   20     0.0769721    4.34656e+332   6s134_bdd.blif
51   30     0.115067     4.34656e+332   6s134_bdd.blif
52   40     0.143888     4.34656e+332   6s134_bdd.blif
53   50     6.59058      4.34656e+332   6s134_bdd.blif
54   75     NA           NA             6s134_bdd.blif
55   100    NA           NA             6s134_bdd.blif
56   200    NA           NA             6s134_bdd.blif
57   300    NA           NA             6s134_bdd.blif
58   400    NA           NA             6s134_bdd.blif
59   800    NA           NA             6s134_bdd.blif
60   1600   NA           NA             6s134_bdd.blif
61   10     0.0167673    4.51842e+220   6s185_bdd.blif
62   20     0.0327778    4.51842e+220   6s185_bdd.blif
63   30     0.0481354    4.51842e+220   6s185_bdd.blif
64   40     0.0607318    4.51842e+220   6s185_bdd.blif
65   50     1.89944      4.51842e+220   6s185_bdd.blif
66   75     NA           NA             6s185_bdd.blif
67   100    NA           NA             6s185_bdd.blif
68   200    NA           NA             6s185_bdd.blif
69   300    NA           NA             6s185_bdd.blif
70   400    NA           NA             6s185_bdd.blif
71   800    NA           NA             6s185_bdd.blif
72   1600   NA           NA             6s185_bdd.blif
73   10     0.0172347    4.62686e+223   6s186_bdd.blif
74   20     0.0332903    4.62686e+223   6s186_bdd.blif
75   30     0.0502977    4.62686e+223   6s186_bdd.blif
76   40     0.0623432    4.62686e+223   6s186_bdd.blif
77   50     1.01366      4.62686e+223   6s186_bdd.blif
78   75     NA           NA             6s186_bdd.blif
79   100    NA           NA             6s186_bdd.blif
80   200    NA           NA             6s186_bdd.blif
81   300    NA           NA             6s186_bdd.blif
82   400    NA           NA             6s186_bdd.blif
83   800    NA           NA             6s186_bdd.blif
84   1600   NA           NA             6s186_bdd.blif
85   10     0.0173722    4.62686e+223   6s187_bdd.blif
86   20     0.0348536    4.62686e+223   6s187_bdd.blif
87   30     0.0491511    4.62686e+223   6s187_bdd.blif
88   40     0.062674     4.62686e+223   6s187_bdd.blif
89   50     1.1037       4.62686e+223   6s187_bdd.blif
90   75     NA           NA             6s187_bdd.blif
91   100    NA           NA             6s187_bdd.blif
92   200    NA           NA             6s187_bdd.blif
93   300    NA           NA             6s187_bdd.blif
94   400    NA           NA             6s187_bdd.blif
95   800    NA           NA             6s187_bdd.blif
96   1600   NA           NA             6s187_bdd.blif
97   10     0.0765669    2.07044e+472   6s188_bdd.blif
98   20     0.14727      2.07044e+472   6s188_bdd.blif
99   30     0.216887     2.07044e+472   6s188_bdd.blif
100  40     0.744267     2.07044e+472   6s188_bdd.blif
101  50     NA           NA             6s188_bdd.blif
102  75     NA           NA             6s188_bdd.blif
103  100    NA           NA             6s188_bdd.blif
104  200    NA           NA             6s188_bdd.blif
105  300    NA           NA             6s188_bdd.blif
106  400    NA           NA             6s188_bdd.blif
107  800    NA           NA             6s188_bdd.blif
108  1600   NA           NA             6s188_bdd.blif
109  10     NA           NA             6s209b0_bdd.blif
110  20     NA           NA             6s209b0_bdd.blif
111  30     NA           NA             6s209b0_bdd.blif
112  40     NA           NA             6s209b0_bdd.blif
113  50     NA           NA             6s209b0_bdd.blif
114  75     NA           NA             6s209b0_bdd.blif
115  100    NA           NA             6s209b0_bdd.blif
116  200    NA           NA             6s209b0_bdd.blif
117  300    NA           NA             6s209b0_bdd.blif
118  400    NA           NA             6s209b0_bdd.blif
119  800    NA           NA             6s209b0_bdd.blif
120  1600   NA           NA             6s209b0_bdd.blif
121  10     NA           NA             6s269r_bdd.blif
122  20     NA           NA             6s269r_bdd.blif
123  30     NA           NA             6s269r_bdd.blif
124  40     NA           NA             6s269r_bdd.blif
125  50     NA           NA             6s269r_bdd.blif
126  75     NA           NA             6s269r_bdd.blif
127  100    NA           NA             6s269r_bdd.blif
128  200    NA           NA             6s269r_bdd.blif
129  300    NA           NA             6s269r_bdd.blif
130  400    NA           NA             6s269r_bdd.blif
131  800    NA           NA             6s269r_bdd.blif
132  1600   NA           NA             6s269r_bdd.blif
133  10     NA           NA             6s274r_bdd.blif
134  20     NA           NA             6s274r_bdd.blif
135  30     NA           NA             6s274r_bdd.blif
