           Test Case	Factors	Vars	PI Vars	Other V	  Partitions	  Parse Time	   Clip Time	       Solns
             6s0_bdd	--	--	--	--	          --	          --	          --	          --
           6s105_bdd	--	--	--	--	          --	          --	          --	          --
           6s109_bdd	--	--	--	--	          --	          --	          --	          --
           6s120_bdd	58	174	58	116	          10	       34.32	          --	          --
           6s134_bdd	534	1104	36	1068	         137	     1.21312	          --	          --
           6s185_bdd	366	769	37	732	           1	    0.084534	          --	          --
           6s186_bdd	371	780	38	742	           1	    0.116409	          --	          --
           6s187_bdd	371	780	38	742	           1	    0.120928	          --	          --
           6s188_bdd	783	1596	30	1566	         165	    0.754197	          --	          --
         6s209b0_bdd	--	--	--	--	          --	          --	          --	          --
          6s269r_bdd	--	--	--	--	          --	          --	          --	          --
          6s274r_bdd	--	--	--	--	          --	          --	          --	          --
      6s275rb318_bdd	2427	5698	844	4854	           1	    0.471085	          --	          --
      6s276rb342_bdd	2432	5707	843	4864	           7	    0.449305	          --	          --
          6s280r_bdd	--	--	--	--	          --	          --	          --	          --
      6s292rb037_bdd	3094	6299	111	6188	          50	    0.074986	          --	          --
            6s29_bdd	2247	4498	4	4494	         267	     3.94586	          --	          --
          6s319r_bdd	192	421	37	384	          62	      35.978	          --	          --
       6s351rb02_bdd	3861	7726	4	7722	         267	     7.11979	          --	          --
       6s351rb15_bdd	3861	7726	4	7722	         267	     15.5642	          --	          --
          6s365r_bdd	204	436	28	408	          19	    0.003581	          --	          --
          6s366r_bdd	--	--	--	--	          --	          --	          --	          --
          6s367r_bdd	--	--	--	--	          --	          --	          --	          --
       6s372rb26_bdd	1085	2244	74	2170	          12	     0.11359	          --	          --
            6s37_bdd	752	1545	41	1504	          60	    0.982996	          --	          --
            6s41_bdd	957	1933	19	1914	          15	     4.45636	          --	          --
             6s4_bdd	202	613	209	404	           3	    0.896423	          --	          --
          6s514r_bdd	--	--	--	--	          --	          --	          --	          --
        6s515rb1_bdd	441	918	36	882	           5	    0.015885	          --	          --
          6s516r_bdd	--	--	--	--	          --	          --	          --	          --
                 b01	5	12	2	10	           1	    0.000429	    0.000216	          96
             b01_opt	5	12	2	10	           1	     0.00014	    0.000207	          96
           b01_opt_C	--	--	--	--	           0	          --	          --	           1
                 b02	--	--	--	--	           1	          --	    0.000104	          22
               b02_C	--	--	--	--	           0	          --	          --	           1
             b02_opt	4	9	1	8	           1	    0.000115	    0.000102	          22
                 b03	30	64	4	60	           1	    0.000598	          --	          --
             b03_opt	30	64	4	60	           1	    0.000555	          --	          --
                 b04	66	143	11	132	           1	    0.037836	          --	          --
             b04_opt	66	143	11	132	           1	    0.032964	          --	          --
                 b05	34	69	1	68	           1	    0.006865	          --	          --
             b05_opt	34	69	1	68	           1	    0.006794	          --	          --
                 b06	9	20	2	18	           1	    0.000165	    0.000558	        1728
             b06_opt	9	20	2	18	           1	    0.000308	    0.000478	        1728
                 b07	49	99	1	98	           1	    0.133164	          --	          --
             b07_opt	49	99	1	98	           1	    0.120728	          --	          --
                 b08	21	51	9	42	           1	    0.000722	          --	          --
             b08_opt	21	51	9	42	           1	    0.000728	          --	          --
                 b09	28	57	1	56	           1	    0.011208	          --	          --
             b09_opt	28	57	1	56	           1	    0.016326	          --	          --
                 b10	17	45	11	34	           1	     0.00084	          --	          --
             b10_opt	17	45	11	34	           1	    0.000999	          --	          --
                 b11	31	69	7	62	           1	    0.014617	          --	          --
             b11_opt	31	69	7	62	           1	    0.019716	          --	          --
                 b12	--	--	--	--	          --	          --	          --	          --
               b12_C	--	--	--	--	          --	          --	          --	          --
             b12_opt	--	--	--	--	          --	          --	          --	          --
           b12_opt_C	--	--	--	--	          --	          --	          --	          --
                 b13	53	116	10	106	           1	    0.001178	          --	          --
             b13_opt	53	116	10	106	           1	    0.001395	          --	          --
                 b14	--	--	--	--	          --	          --	          --	          --
               b14_C	--	--	--	--	          --	          --	          --	          --
             b14_opt	--	--	--	--	          --	          --	          --	          --
           b14_opt_C	--	--	--	--	          --	          --	          --	          --
                 b15	--	--	--	--	          --	          --	          --	          --
               b15_C	--	--	--	--	          --	          --	          --	          --
             b15_opt	--	--	--	--	          --	          --	          --	          --
           b15_opt_C	--	--	--	--	          --	          --	          --	          --
                 b17	--	--	--	--	          --	          --	          --	          --
               b17_C	--	--	--	--	          --	          --	          --	          --
             b17_opt	--	--	--	--	          --	          --	          --	          --
           b17_opt_C	--	--	--	--	          --	          --	          --	          --
                 b18	3320	6676	36	6640	        3320	    0.058131	    0.002088	2.62776e+999
             b18_opt	3270	6576	36	6540	        3270	    0.062939	    0.001978	2.33392e+984
                 b19	6642	13305	21	13284	        6642	    0.126669	    0.003086	2.76205e+1999
                 b20	--	--	--	--	          --	          --	          --	          --
               b20_C	--	--	--	--	          --	          --	          --	          --
             b20_opt	--	--	--	--	          --	          --	          --	          --
           b20_opt_C	--	--	--	--	          --	          --	          --	          --
                 b21	--	--	--	--	          --	          --	          --	          --
               b21_C	--	--	--	--	          --	          --	          --	          --
             b21_opt	--	--	--	--	          --	          --	          --	          --
           b21_opt_C	--	--	--	--	          --	          --	          --	          --
                 b22	--	--	--	--	          --	          --	          --	          --
               b22_C	--	--	--	--	          --	          --	          --	          --
             b22_opt	--	--	--	--	          --	          --	          --	          --
           b22_opt_C	--	--	--	--	          --	          --	          --	          --
              s1196a	18	50	14	36	           1	    0.002511	     1.84669	 3.56016e+08
              s1196b	18	50	14	36	           1	    0.001524	      1.8398	 3.56016e+08
               s1196	18	50	14	36	           1	    0.001748	     1.87144	 3.56016e+08
              s1238a	18	53	17	36	           1	    0.001578	     1.86085	 3.56016e+08
               s1238	18	50	14	36	           1	    0.001639	     1.85324	 3.56016e+08
              s13207	638	1338	62	1276	          75	     38.2729	          --	          --
               s1423	74	165	17	148	           1	    0.169707	          --	          --
               s1488	6	20	8	12	           1	    0.001946	     0.02968	         133
               s1494	6	20	8	12	           1	    0.002192	     0.04141	         133
              s15850	534	1145	77	1068	          34	    0.395062	          --	          --
               s208a	8	26	10	16	           1	    0.000556	     0.00873	         512
                s208	8	27	11	16	           1	    0.000936	    0.000646	         511
                s27a	--	--	--	--	           1	          --	    0.000137	          33
                 s27	3	10	4	6	           1	    0.000116	    0.000193	          33
                s298	14	31	3	28	           1	    0.000264	    0.486735	       81408
                s344	15	39	9	30	           1	    0.000662	          --	          --
                s349	15	39	9	30	           1	    0.000614	          --	          --
              s35932	1728	3491	35	3456	           1	    0.058353	          --	          --
                s382	21	45	3	42	           1	    0.000368	     7.01875	 1.04732e+07
              s38417	1636	3300	28	3272	         198	     62.7918	          --	          --
              s38584	--	--	--	--	          --	          --	          --	          --
               s386a	6	19	7	12	           1	    0.000616	    0.010793	          93
                s386	6	19	7	12	           1	    0.000584	    0.008958	          93
                s400	21	45	3	42	           1	    0.000567	     7.01248	 1.04732e+07
               s420a	16	50	18	32	           1	    0.113576	     6.06789	      131072
                s420	16	51	19	32	           1	    0.121841	    0.136916	      138271
                s444	21	45	3	42	           1	    0.000651	      10.226	 1.04732e+07
                s510	6	31	19	12	           1	    0.013222	      65.605	         101
               s526a	21	45	3	42	           1	    0.002122	          --	          --
                s526	21	45	3	42	           1	    0.000646	          --	          --
               s5378	--	--	--	--	          --	          --	          --	          --
                s641	19	73	35	38	           1	    0.001307	          --	          --
                s713	19	73	35	38	           1	     0.00123	          --	          --
                s820	5	28	18	10	           1	    0.001876	     1.53203	         114
                s832	5	28	18	10	           1	    0.001952	     1.50924	         114
               s838a	--	--	--	--	          --	          --	          --	          --
                s838	--	--	--	--	          --	          --	          --	          --
               s9234	211	458	36	422	           9	      10.065	          --	          --
                s953	29	74	16	58	           1	    0.002521	          --	          --
