Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |                                                Arithmetic_ceiling1024 |    FAILED |              1.0 |     1200.0 | 
 |                                                 Arithmetic_ceiling128 |      PASS |              0.0 |      364.0 | 
 |                                                 Arithmetic_ceiling256 |    FAILED |              0.0 |     1200.0 | 
 |                                                  Arithmetic_ceiling32 |      PASS |              0.0 |        2.0 | 
 |                                                 Arithmetic_ceiling512 |    FAILED |              1.0 |     1200.0 | 
 |                                                  Arithmetic_ceiling64 |    FAILED |              0.0 |     1200.0 | 
 |                                          Arithmetic_decomposition1024 |    FAILED |              1.0 |     1200.0 | 
 |                                           Arithmetic_decomposition128 |      PASS |              0.0 |       42.0 | 
 |                                           Arithmetic_decomposition256 |      PASS |              0.0 |      405.0 | 
 |                                            Arithmetic_decomposition32 |      PASS |              0.0 |        1.0 | 
 |                                           Arithmetic_decomposition512 |    FAILED |              0.0 |     1200.0 | 
 |                                            Arithmetic_decomposition64 |      PASS |              0.0 |        5.0 | 
 |                                           Arithmetic_equalization1024 |    FAILED |              1.0 |     1201.0 | 
 |                                            Arithmetic_equalization128 |      PASS |              0.0 |      490.0 | 
 |                                            Arithmetic_equalization256 |    FAILED |              1.0 |     1200.0 | 
 |                                             Arithmetic_equalization32 |      PASS |              0.0 |        5.0 | 
 |                                            Arithmetic_equalization512 |    FAILED |              0.0 |     1200.0 | 
 |                                             Arithmetic_equalization64 |      PASS |              0.0 |       39.0 | 
 |                                                  Arithmetic_floor1024 |    FAILED |              0.0 |     1200.0 | 
 |                                                   Arithmetic_floor128 |      PASS |              0.0 |       65.0 | 
 |                                                   Arithmetic_floor256 |      PASS |              0.0 |      737.0 | 
 |                                                    Arithmetic_floor32 |      PASS |              0.0 |        1.0 | 
 |                                                   Arithmetic_floor512 |    FAILED |              0.0 |     1200.0 | 
 |                                                    Arithmetic_floor64 |      PASS |              0.0 |        7.0 | 
 |                                           Arithmetic_intermediate1024 |    FAILED |              1.0 |     1200.0 | 
 |                                            Arithmetic_intermediate128 |      PASS |              0.0 |      992.0 | 
 |                                            Arithmetic_intermediate256 |    FAILED |              1.0 |     1200.0 | 
 |                                             Arithmetic_intermediate32 |      PASS |              0.0 |        4.0 | 
 |                                            Arithmetic_intermediate512 |    FAILED |              0.0 |     1200.0 | 
 |                                             Arithmetic_intermediate64 |      PASS |              0.0 |       47.0 | 
 |                                                    Arithmetic_max1024 |    FAILED |              1.0 |     1200.0 | 
 |                                                     Arithmetic_max128 |      PASS |              0.0 |       65.0 | 
 |                                                     Arithmetic_max256 |      PASS |              0.0 |      866.0 | 
 |                                                      Arithmetic_max32 |      PASS |              0.0 |        1.0 | 
 |                                                     Arithmetic_max512 |    FAILED |              0.0 |     1200.0 | 
 |                                                      Arithmetic_max64 |      PASS |              1.0 |        6.0 | 
 |                                                    Arithmetic_min1024 |    FAILED |              1.0 |     1200.0 | 
 |                                                     Arithmetic_min128 |      PASS |              0.0 |       60.0 | 
 |                                                     Arithmetic_min256 |      PASS |              1.0 |      765.0 | 
 |                                                      Arithmetic_min32 |      PASS |              0.0 |        1.0 | 
 |                                                     Arithmetic_min512 |    FAILED |              0.0 |     1200.0 | 
 |                                                      Arithmetic_min64 |      PASS |              0.0 |        6.0 | 
 |                                            Arithmetic_subtraction1024 |    FAILED |              1.0 |     1200.0 | 
 |                                             Arithmetic_subtraction128 |      PASS |              0.0 |       25.0 | 
 |                                             Arithmetic_subtraction256 |      PASS |              0.0 |      227.0 | 
 |                                              Arithmetic_subtraction32 |      PASS |              1.0 |        0.0 | 
 |                                             Arithmetic_subtraction512 |    FAILED |              1.0 |     1200.0 | 
 |                                              Arithmetic_subtraction64 |      PASS |              0.0 |        3.0 | 
 |    Disjunctive_Decomposition_bobsm5378d2_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |      Disjunctive_Decomposition_bobsm9234_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |     Disjunctive_Decomposition_bobsmcodic_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |       Disjunctive_Decomposition_bobsmfpu_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |     Disjunctive_Decomposition_bobsmhdlc1_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |     Disjunctive_Decomposition_bobsmhdlc2_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |     Disjunctive_Decomposition_bobsmhdlc3_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |      Disjunctive_Decomposition_bobsmhdlc_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth00neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth01neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth04neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth06neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth07neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth08neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth09neg_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |  Disjunctive_Decomposition_bobsynth11neg_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
