Name                                                                  | Status                      | T / B / K Vars       | T / B / K QVars      | T / B / K Clauses       | T / B / K Time          | PreProc Status                | Bdd Creation Time | Merge F / V / Time  | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_small-dyn-partition-fixpoint-4                            | MUS timed out               | 434 / 0 / 373        | 394 / 0 / 373        | 1227 / 0 / 1061         | 0.84 / 0.53 / 0.27      | PreProc-ed 5 rounds           | 0.01 sec          | 2 / 2 / 0.122274    | 0.0 sec          | 4 iters, 0.01 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2017_query52_query42_1344n                                     | MUS timed out               | 1038 / 17 / 669      | 964 / 17 / 669       | 2439 / 17 / 651         | 1.09 / 0.69 / 0.32      | PreProc-ed 2 rounds           | 0.04 sec          | 27 / 5 / 11.5227    | 0.04 sec         | 4 iters, 0.64 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2017_small-swap1-fixpoint-7                                    | MUS timed out               | 2190 / 0 / 1226      | 1710 / 0 / 1226      | 6259 / 0 / 3761         | 2.6 / 1.62 / 0.76       | PreProc-ed 4 rounds           | 0.06 sec          | 63 / 13 / 11.2573   | 0.07 sec         | 4 iters, 1.86 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2018_mult_bool_matrix_18_18_18.sat                             | FG timed out                | 86514 / 3 / 79176    | 85865 / 3 / 79176    | 256614 / 27217 / 184211 | 28.52 / 11.06 / 9.45    | PreProc-ed 7 rounds           | 8.15 sec          |                     |                  |                                 |                                |                                                         | 900.0      
QBFEval2017_small-swap1-fixpoint-8                                    | MUS timed out               | 2502 / 0 / 1400      | 1962 / 0 / 1400      | 7183 / 0 / 4353         | 3.68 / 2.33 / 1.04      | PreProc-ed 5 rounds           | 0.07 sec          | 75 / 15 / 9.93437   | 0.04 sec         | 4 iters, 0.42 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2018_stmt19_75_95                                              | MUS timed out               | 10699 / 141 / 8173   | 10191 / 106 / 8018   | 41813 / 889 / 27083     | 16.51 / 8.86 / 5.66     | PreProc-ed 7 rounds           | 0.74 sec          | 37 / 30 / 90.6234   | 0.08 sec         | 4 iters, 1.09 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2018_amba3b5y.sat                                              | FG timed out                | 1627 / 1 / 482       | 1581 / 1 / 482       | 10913 / 3 / 1133        | 2.24 / 1.33 / 0.62      | PreProc-ed 2 rounds           | 0.24 sec          | 48 / 16 / 133.729   | 0.07 sec         |                                 |                                |                                                         | 900.0      
Disjunctive_Decomposition_neclaftp4002_all_bit_differing_from_cycle   | MUS timed out               | 3876 / 4 / 1048      | 2782 / 4 / 1048      | 12922 / 10 / 1480       | 6.69 / 4.0 / 2.14       | PreProc-ed 3 rounds           | 0.5 sec           | 171 / 37 / 104.822  | 1.32 sec         | 5 iters, 8.45 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2018_itc-b13-fixpoint-3                                        | MUS timed out               | 3509 / 116 / 3067    | 3295 / 116 / 3055    | 10014 / 331 / 8529      | 3.25 / 2.2 / 0.81       | PreProc-ed 6 rounds           | 0.04 sec          | 17 / 5 / 2.38216    | 0.03 sec         | 4 iters, 0.62 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp                    | MUS timed out               | 7011 / 1 / 5510      | 6971 / 1 / 5510      | 20734 / 3 / 11232       | 3.87 / 2.33 / 1.08      | PreProc-ed 2 rounds           | 0.43 sec          | 112 / 20 / 179.691  | 0.13 sec         | 4 iters, 2.34 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 900.0      
