TestCase                                                                      | Status     | TimeTaken          
QBFEval2018_sortnetsort10.AE.stepl.008.qdimacs                                | Timed out  | 1815.3503015041351 
QBFEval2018_ntrivil_query42_1344n.qdimacs                                     | Timed out  | 1813.7063958644867 
QBFEval2017_query25_query42_1344n.qdimacs                                     | Timed out  | 1815.4410614967346 
Arithmetic_decomposition32.qdimacs                                            | Timed out  | 1827.5832471847534 
QBFEval2018_small-seq-fixpoint-3.qdimacs                                      | Timed out  | 1812.7216336727142 
QBFEval2017_sortnetsort10.AE.stepl.012.qdimacs                                | Timed out  | 1811.9015519618988 
QBFEval2017_trueque_query42_1344n.qdimacs                                     | Timed out  | 1811.596179485321  
QBFEval2018_small-seq-fixpoint-7.qdimacs                                      | Timed out  | 1812.9944891929626 
QBFEval2018_cache-coherence-3-fixpoint-3.qdimacs                              | Successful | 1773.631376504898  
QBFEval2017_AR-fixpoint-10.qdimacs                                            | Timed out  | 1812.6199440956116 
QBFEval2017_stmt17_63_70.qdimacs                                              | Timed out  | 1817.9547653198242 
QBFEval2018_query36_query42_1344n.qdimacs                                     | Timed out  | 1811.3933010101318 
Arithmetic_equalization128.qdimacs                                            | Timed out  | 1814.905913591385  
QBFEval2018_rankfunc53_unsigned_64.qdimacs                                    | Timed out  | 1813.6573963165283 
QBFEval2017_itc-b13-fixpoint-9.qdimacs                                        | Timed out  | 1815.156188249588  
QBFEval2017_GuidanceService2.qdimacs                                          | Timed out  | 1828.2172026634216 
QBFEval2018_Q_2-3_v-80-100_r-11.9.qdimacs                                     | Failed     | 20.456210613250732 
QBFEval2017_stmt47_290_340.qdimacs                                            | Timed out  | 1811.4517257213593 
Arithmetic_max1024.qdimacs                                                    | Timed out  | 1811.8655858039856 
QBFEval2018_ceiling256.qdimacs                                                | Successful | 134.25403118133545 
QBFEval2018_stmt23_72_76.qdimacs                                              | Timed out  | 1811.9996330738068 
QBFEval2017_stmt17_63_78.qdimacs                                              | Timed out  | 1811.9434342384338 
Arithmetic_ceiling32.qdimacs                                                  | Successful | 12.679606199264526 
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#17.asp.qdimacs                   | Failed     | 0.13339781761169434
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#60.asp.qdimacs                   | Failed     | 0.06645369529724121
QBFEval2018_Q_2-3_v-80-100_r-11.1.qdimacs                                     | Failed     | 16.361531972885132 
QBFEval2017_itc-b13-fixpoint-1.qdimacs                                        | Successful | 25.649527311325073 
QBFEval2018_sortnetsort10.AE.stepl.004.qdimacs                                | Timed out  | 1811.098494052887  
QBFEval2017_small-swap2-fixpoint-10.qdimacs                                   | Successful | 1074.7926454544067 
QBFEval2017_small-pipeline-fixpoint-10.qdimacs                                | Timed out  | 1817.5870985984802 
QBFEval2018_small-equiv-fixpoint-2.qdimacs                                    | Timed out  | 1837.4736485481262 
QBFEval2018_Q_2-3_v-80-100_r-11.5.qdimacs                                     | Failed     | 34.185269594192505 
QBFEval2018_stmt44_554_604.qdimacs                                            | Successful | 269.77230429649353 
Disjunctive_Decomposition_neclaftp2002_all_bit_differing_from_cycle.qdimacs   | Timed out  | 1812.5366611480713 
QBFEval2018_stmt28_73_97.qdimacs                                              | Timed out  | 1812.2300493717194 
QBFEval2017_rankfunc35_signed_64.qdimacs                                      | Timed out  | 1811.435194015503  
QBFEval2018_query01_query42_1344n.qdimacs                                     | Timed out  | 1811.8230831623077 
QBFEval2018_stmt50_343_392.qdimacs                                            | Timed out  | 1811.4182319641113 
QBFEval2017_amba4c7n.sat.qdimacs                                              | Timed out  | 1815.254540681839  
QBFEval2018_rankfunc49_unsigned_64.qdimacs                                    | Timed out  | 1827.324568271637  
QBFEval2018_eijkbs3330.qdimacs                                                | Timed out  | 1811.3549625873566 
Disjunctive_Decomposition_bobsynth11neg_all_bit_differing_from_cycle.qdimacs  | Timed out  | 1811.9278948307037 
QBFEval2018_driver_c9n.sat.qdimacs                                            | Timed out  | 1811.1807625293732 
QBFEval2018_stmt19_137_408.qdimacs                                            | Successful | 316.7041356563568  
QBFEval2018_stmt28_68_69.qdimacs                                              | Timed out  | 1811.8065032958984 
QBFEval2018_rankfunc54_unsigned_64.qdimacs                                    | Timed out  | 1811.2031400203705 
QBFEval2017_cycle_sched_2_10_1.sat.qdimacs                                    | Timed out  | 1811.3133761882782 
QBFEval2018_query58_query42_1344n.qdimacs                                     | Timed out  | 1811.2355697154999 
QBFEval2017_stmt41_286_385.qdimacs                                            | Timed out  | 1814.991067647934  
Disjunctive_Decomposition_bobtuint06neg_all_bit_differing_from_cycle.qdimacs  | Successful | 162.10924291610718 
QBFEval2017_stmt53_208_245.qdimacs                                            | Timed out  | 1810.980474472046  
Arithmetic_subtraction64.qdimacs                                              | Successful | 14.364726781845093 
QBFEval2018_query07_query42_1344n.qdimacs                                     | Timed out  | 1811.2794580459595 
QBFEval2017_load_full_3_comp5_REAL.sat.qdimacs                                | Failed     | 1651.9791040420532 
QBFEval2017_amba5b5n.sat.qdimacs                                              | Timed out  | 1811.512310743332  
QBFEval2017_ctrl.e#1.a#3.E#112.A#48.c#.w#5.s#27.asp.qdimacs                   | Failed     | 0.10079216957092285
QBFEval2017_stmt23_88_92.qdimacs                                              | Timed out  | 1812.7422106266022 
QBFEval2017_stmt31_22_328.qdimacs                                             | Timed out  | 1811.300143480301  
QBFEval2017_query23_query42_1344n.qdimacs                                     | Timed out  | 1811.4468097686768 
QBFEval2018_amba2f9n.sat.qdimacs                                              | Timed out  | 1811.080574274063  
Disjunctive_Decomposition_bobtuint21neg_all_bit_differing_from_cycle.qdimacs  | Successful | 167.09644889831543 
QBFEval2018_driver_a10y.sat.qdimacs                                           | Timed out  | 1811.3750803470612 
QBFEval2017_query10_query34_1344n.qdimacs                                     | Timed out  | 1811.4924433231354 
QBFEval2018_mult9.sat.qdimacs                                                 | Timed out  | 1811.2760376930237 
QBFEval2018_mult_bool_matrix_18_18_18.sat.qdimacs                             | Timed out  | 1812.3246626853943 
QBFEval2017_sdlx-fixpoint-7.qdimacs                                           | Timed out  | 1812.7941138744354 
QBFEval2017_ltl2dba_U1-4_comp4_REAL.sat.qdimacs                               | Timed out  | 1812.5052707195282 
QBFEval2018_stmt19_352_359.qdimacs                                            | Successful | 642.5719356536865  
Disjunctive_Decomposition_bobtuint19neg_all_bit_differing_from_cycle.qdimacs  | Successful | 171.97877979278564 
QBFEval2018_stmt17_62_98.qdimacs                                              | Timed out  | 1811.844716310501  
QBFEval2017_stmt53_296_346.qdimacs                                            | Timed out  | 1811.3211359977722 
QBFEval2018_query54_query42_1344n.qdimacs                                     | Timed out  | 1811.0657596588135 
QBFEval2017_stmt19_66_214.qdimacs                                             | Successful | 118.16136741638184 
QBFEval2018_Q_2-3_v-80-100_r-13.9.qdimacs                                     | Failed     | 15.807829856872559 
QBFEval2018_reachqu_query71_1344n.qdimacs                                     | Timed out  | 1811.4743463993073 
Disjunctive_Decomposition_neclaftp3001_all_bit_differing_from_cycle.qdimacs   | Timed out  | 1812.136394739151  
Disjunctive_Decomposition_bobsmhdlc2_all_bit_differing_from_cycle.qdimacs     | Successful | 62.04628896713257  
QBFEval2018_usb-phy-fixpoint-2.qdimacs                                        | Timed out  | 1811.4094746112823 
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#400.w#2.s#1.asp.qdimacs                    | Failed     | 0.09758472442626953
QBFEval2017_cache-coherence-2-fixpoint-5.qdimacs                              | Timed out  | 1811.7039115428925 
QBFEval2017_query49_ntrivil_1344n.qdimacs                                     | Timed out  | 1811.0878818035126 
QBFEval2018_stmt21_143_403.qdimacs                                            | Successful | 290.2939910888672  
QBFEval2017_stmt41_262_275.qdimacs                                            | Successful | 32.3718159198761   
QBFEval2018_stmt17_74_90.qdimacs                                              | Timed out  | 1812.2767055034637 
QBFEval2018_small-swap1-fixpoint-7.qdimacs                                    | Timed out  | 1815.1263167858124 
QBFEval2018_Q_2-3_v-80-100_r-13.5.qdimacs                                     | Failed     | 20.688085079193115 
QBFEval2017_rankfunc56_signed_64.qdimacs                                      | Timed out  | 1810.9596872329712 
QBFEval2018_stmt19_65_87.qdimacs                                              | Timed out  | 1812.4748470783234 
QBFEval2018_query05_query31_1344n.qdimacs                                     | Timed out  | 1814.378934621811  
QBFEval2018_floor128.qdimacs                                                  | Successful | 24.434000492095947 
QBFEval2017_nreachq_query11_1344n.qdimacs                                     | Timed out  | 1811.519520521164  
QBFEval2018_Q_2-3_v-80-100_r-13.1.qdimacs                                     | Failed     | 15.778505802154541 
Disjunctive_Decomposition_bobtuint25neg_all_bit_differing_from_cycle.qdimacs  | Successful | 153.49400281906128 
QBFEval2018_driver_d9y.sat.qdimacs                                            | Timed out  | 1811.1418578624725 
QBFEval2018_stmt21_71_354.qdimacs                                             | Successful | 194.42896270751953 
QBFEval2017_ctrl.e#1.a#3.E#134.A#48.c#.w#9.s#40.asp.qdimacs                   | Failed     | 0.11792588233947754
QBFEval2018_stmt19_87_95.qdimacs                                              | Timed out  | 1816.3670840263367 
QBFEval2018_small-pipeline-fixpoint-3.qdimacs                                 | Timed out  | 1813.9514644145966 
QBFEval2017_sortnetsort7.AE.stepl.005.qdimacs                                 | Timed out  | 1813.568264245987  
QBFEval2018_stmt17_70_86.qdimacs                                              | Timed out  | 1822.9755795001984 
QBFEval2018_oski3ub5i_c0to255.sat.qdimacs                                     | Timed out  | 1813.6765401363373 
QBFEval2018_ActivityService.qdimacs                                           | Timed out  | 1812.3620688915253 
QBFEval2017_rankfunc35_unsigned_64.qdimacs                                    | Timed out  | 1812.2232658863068 
Disjunctive_Decomposition_bobsmcodic_all_bit_differing_from_cycle.qdimacs     | Timed out  | 1812.520967721939  
Disjunctive_Decomposition_pdtpmssfeistel_all_bit_differing_from_cycle.qdimacs | Timed out  | 1811.295329093933  
QBFEval2018_sortnetsort9.AE.stepl.007.qdimacs                                 | Timed out  | 1811.1634213924408 
QBFEval2017_driver_b8n.sat.qdimacs                                            | Timed out  | 1812.5333366394043 
QBFEval2018_stmt17_70_82.qdimacs                                              | Timed out  | 1812.4977297782898 
QBFEval2017_query60_query10_1344n.qdimacs                                     | Timed out  | 1813.4182007312775 
QBFEval2018_stmt85_300_399.qdimacs                                            | Timed out  | 1812.4407217502594 
