Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_query33_query57_1344n                                     | MUS timed out                                       | 1157 / 0 / 743      | 1087 / 0 / 743      | 2673 / 0 / 744       | 1.7 / 0.67 / 0.69      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 44.51 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt31_22_328                                             | MUS timed out                                       | 2937 / 4 / 1757     | 2693 / 4 / 1717     | 9739 / 16 / 4223     | 4.14 / 1.35 / 1.54     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 28.09 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc61_unsigned_64                                    | Preproc Solved, FG skipped.                         | 4298 / 0 / 4298     | 3914 / 0 / 3914     | 12134 / 0 / 12133    | 0.33 / 0.0 / 0.27      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_stmt17_63_78                                              | MUS timed out                                       | 7654 / 71 / 6966    | 7262 / 35 / 6801    | 29444 / 76 / 26657   | 8.78 / 1.74 / 3.89     | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 15.39 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_sortnetsort10.AE.stepl.011                                | FG timed out                                        | 11241 / 0 / 3035    | 9162 / 0 / 3035     | 18786 / 0 / 3463     | 5.51 / 2.46 / 1.55     | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2018_intermediate128                                           | MUS timed out                                       | 1278 / 0 / 511      | 1022 / 0 / 511      | 3700 / 0 / 401       | 1.74 / 0.93 / 0.46     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 120.22 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Arithmetic_max1024                                                    | MUS timed out                                       | 6497 / 0 / 1438     | 4449 / 0 / 1438     | 19142 / 0 / 2925     | 19.49 / 5.84 / 7.57    | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 217.66 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Arithmetic_decomposition128                                           | Preproc Solved, FG skipped.                         | 1145 / 0 / 1145     | 1017 / 0 / 1017     | 3154 / 0 / 3153      | 0.66 / 0.0 / 0.39      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2018_sortnetsort9.AE.stepl.011                                 | MUS timed out                                       | 8852 / 0 / 2473     | 7224 / 0 / 2473     | 14813 / 0 / 2857     | 3.24 / 1.4 / 1.0       | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 1400.04 sec, ONE       | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt23_66_67                                              | MUS timed out                                       | 6349 / 71 / 5949    | 6044 / 35 / 5796    | 24143 / 76 / 22743   | 4.85 / 1.17 / 2.3      | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 0.39 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt17_82_94                                              | FG timed out                                        | 11569 / 67 / 8881   | 11061 / 34 / 8724   | 45347 / 69 / 30052   | 12.58 / 2.82 / 5.31    | PreProc-ed 3 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
