Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#384.w#6.s#8.asp                    | Preproc finished unsolved, FG skipped, MUS skipped | 9315 / 0 / 7454     | 9275 / 0 / 7454     | 27646 / 0 / 15541    | 6.87 / 3.21 / 1.76      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_small-pipeline-fixpoint-9                                 | Preproc finished unsolved, FG skipped, MUS skipped | 16535 / 0 / 9552    | 14062 / 0 / 9552    | 47167 / 0 / 21644    | 36.93 / 5.3 / 16.73     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2017_sortnetsort10.AE.stepl.010                                | Preproc finished unsolved, FG skipped, MUS skipped | 10221 / 0 / 2760    | 8331 / 0 / 2760     | 17080 / 0 / 3149     | 5.78 / 2.41 / 1.8       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_Q_2-3_v-80-100_r-13.3                                     | Preproc finished unsolved, FG skipped, MUS skipped | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.45 / 0.31 / 0.06      | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         | 0.03       
QBFEval2017_query36_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1182 / 0 / 802      | 1108 / 0 / 802      | 2703 / 0 / 793       | 2.75 / 1.31 / 0.85      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_rankfunc60_unsigned_32                                    | Preproc finished unsolved, FG skipped, MUS skipped | 1296 / 0 / 856      | 1104 / 0 / 856      | 3271 / 0 / 2256      | 1.22 / 0.53 / 0.34      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_nxquery_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 618 / 0 / 351       | 556 / 0 / 351       | 1647 / 0 / 343       | 1.91 / 0.84 / 0.78      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_stmt46_111_238                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2420 / 0 / 1640     | 2236 / 0 / 1610     | 7826 / 0 / 4474      | 3.46 / 1.52 / 1.09      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_beemskbn1f1_c0to7.sat                                     | Preproc finished unsolved, FG skipped, MUS skipped | 34863 / 0 / 23111   | 34323 / 0 / 23111   | 102404 / 0 / 37752   | 7.08 / 2.13 / 2.44      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.37       
QBFEval2018_sortnetsort9.AE.stepl.008                                 | Preproc finished unsolved, FG skipped, MUS skipped | 6443 / 0 / 1801     | 5259 / 0 / 1801     | 10778 / 0 / 2080     | 3.3 / 1.28 / 1.0        | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.21       
QBFEval2017_genbuf7b4n.sat                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2143 / 0 / 1151     | 2088 / 0 / 1151     | 12187 / 0 / 2688     | 8.64 / 2.34 / 3.21      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_query34_query11_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 875 / 0 / 601       | 809 / 0 / 601       | 1915 / 0 / 562       | 2.34 / 0.72 / 1.07      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_rankfunc34_signed_64                                      | Preproc Solved, FG skipped.                        | 2949 / 0 / 2949     | 2693 / 0 / 2693     | 7917 / 0 / 7916      | 0.22 / 0.0 / 0.16       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_stmt19_137_408                                            | Preproc finished unsolved, FG skipped, MUS skipped | 4044 / 4 / 2507     | 3764 / 4 / 2464     | 13647 / 16 / 6318    | 11.67 / 3.11 / 4.36     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_stmt23_67_92                                              | Preproc finished unsolved, FG skipped, MUS skipped | 9394 / 67 / 7283    | 8915 / 34 / 7138    | 36512 / 69 / 24529   | 16.63 / 3.73 / 6.63     | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
