Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
Disjunctive_Decomposition_bobtuint16neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                         | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.2 / 0.0 / 0.15       | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2017_cycle_sched_2_10_1.sat                                    | MUS timed out                                       | 4151 / 0 / 2901     | 4019 / 0 / 2901     | 12895 / 0 / 7504     | 4.91 / 1.82 / 1.71     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt23_88_92                                              | MUS timed out                                       | 11569 / 67 / 9244   | 11090 / 34 / 9099   | 45347 / 69 / 32330   | 14.23 / 2.51 / 6.39    | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_usb-phy-fixpoint-1                                        | MUS timed out                                       | 1630 / 0 / 911      | 1296 / 0 / 911      | 4395 / 0 / 2107      | 3.5 / 1.52 / 1.13      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query34_query11_1344n                                     | MUS timed out                                       | 875 / 0 / 601       | 809 / 0 / 601       | 1915 / 0 / 562       | 1.27 / 0.55 / 0.44     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query33_query51_1344n                                     | MUS timed out                                       | 907 / 0 / 633       | 841 / 0 / 633       | 1995 / 0 / 609       | 1.86 / 0.78 / 0.69     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query44_query42_1344n                                     | MUS timed out                                       | 10043 / 0 / 6092    | 9863 / 0 / 6092     | 53216 / 0 / 5868     | 12.57 / 2.28 / 6.5     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt19_64_87                                              | MUS timed out                                       | 8524 / 67 / 7235    | 8074 / 34 / 7091    | 32978 / 69 / 26279   | 13.2 / 3.02 / 5.72     | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt52_295_394                                            | MUS timed out                                       | 5317 / 4 / 3588     | 5047 / 4 / 3549     | 17937 / 16 / 9511    | 5.41 / 2.11 / 1.81     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc53_unsigned_64                                    | Preproc Solved, FG skipped.                         | 3414 / 0 / 3414     | 3030 / 0 / 3030     | 8411 / 0 / 8410      | 0.28 / 0.0 / 0.22      | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2018_Q_2-3_v-80-100_r-13.3                                     | MUS timed out                                       | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.39 / 0.27 / 0.07     | PreProc-ed 1 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 92.42 / 0.11 / 1300 / 0                                 | 1500.0     
QBFEval2017_query36_query42_1344n                                     | MUS timed out                                       | 1182 / 0 / 802      | 1108 / 0 / 802      | 2703 / 0 / 793       | 1.77 / 0.78 / 0.68     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_beemskbn1f1_c0to7.sat                                     | MUS timed out                                       | 34863 / 0 / 23111   | 34323 / 0 / 23111   | 102404 / 0 / 37752   | 6.76 / 2.34 / 2.53     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_nxquery_query42_1344n                                     | MUS timed out                                       | 618 / 0 / 351       | 556 / 0 / 351       | 1647 / 0 / 343       | 1.33 / 0.84 / 0.3      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 7.55 / 0.02 / 1647 / 0                                  | 1500.0     
QBFEval2017_sdlx-fixpoint-5                                           | MUS timed out                                       | 8462 / 0 / 6799     | 8051 / 0 / 6799     | 25141 / 0 / 14810    | 8.79 / 1.98 / 3.83     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_UserServiceImpl                                           | MUS timed out                                       | 4040 / 0 / 2831     | 3953 / 0 / 2831     | 14575 / 0 / 7723     | 6.02 / 2.7 / 1.74      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_ctrl.e#1.a#3.E#120.A#48.c#.w#3.s#3.asp                    | MUS timed out                                       | 3047 / 0 / 2442     | 2927 / 0 / 2442     | 8638 / 0 / 5649      | 1.68 / 1.02 / 0.4      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query42_query42_1344n                                     | MUS timed out                                       | 10043 / 0 / 6092    | 9863 / 0 / 6092     | 53216 / 0 / 5868     | 13.02 / 2.73 / 7.07    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt21_84_364                                             | MUS timed out                                       | 3529 / 4 / 2199     | 3269 / 4 / 2160     | 11819 / 16 / 5515    | 5.97 / 2.3 / 1.97      | PreProc-ed 3 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_small-swap2-fixpoint-9                                    | MUS timed out                                       | 2816 / 0 / 1715     | 2216 / 0 / 1715     | 8151 / 0 / 5394      | 2.54 / 0.71 / 1.12     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_small-bug1-fixpoint-10                                    | Preproc Solved, FG skipped.                         | 171 / 0 / 171       | 139 / 0 / 139       | 414 / 0 / 413        | 0.08 / 0.0 / 0.06      | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2018_stmt28_68_69                                              | MUS timed out                                       | 7219 / 67 / 6047    | 6885 / 34 / 5961    | 27677 / 69 / 21353   | 5.84 / 1.81 / 2.33     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt19_133_217                                            | MUS timed out                                       | 2420 / 0 / 1650     | 2244 / 0 / 1622     | 7800 / 0 / 4519      | 2.74 / 1.25 / 0.89     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_small-swap2-fixpoint-6                                    | MUS timed out                                       | 1880 / 0 / 1132     | 1460 / 0 / 1132     | 5379 / 0 / 3527      | 1.48 / 0.47 / 0.64     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
