Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                  | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#5.s#1.asp                    | Preproc finished unsolved, FG skipped, MUS skipped | 5295 / 0 / 4187     | 5167 / 0 / 4187     | 15358 / 0 / 9016     | 1.34 / 0.0 / 1.07       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_query10_query34_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 7333 / 0 / 3986     | 7165 / 0 / 3986     | 38914 / 0 / 3978     | 30.54 / 0.0 / 21.92     | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2018_itc-b13-fixpoint-8                                        | Preproc finished unsolved, FG skipped, MUS skipped | 10264 / 0 / 9126    | 9770 / 0 / 9109     | 29564 / 0 / 25264    | 10.7 / 0.0 / 7.38       | PreProc-ed 11 rounds            |                   |                    |                  |                |            |                                                         | 0.25       
QBFEval2018_Q_2-3_v-80-100_r-11.1                                     | Preproc finished unsolved, FG skipped, MUS skipped | 180 / 0 / 0         | 100 / 0 / 0         | 1100 / 0 / 0         | 0.1 / 0.0 / 0.1         | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2018_stmt53_208_245                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2900 / 0 / 2050     | 2715 / 0 / 2025     | 9420 / 0 / 5769      | 1.52 / 0.0 / 1.19       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_small-equiv-fixpoint-5                                    | Preproc finished unsolved, FG skipped, MUS skipped | 11068 / 0 / 7215    | 10876 / 0 / 7215    | 36453 / 0 / 15947    | 6.68 / 0.0 / 4.99       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2018_itc-b13-fixpoint-7                                        | Preproc finished unsolved, FG skipped, MUS skipped | 8913 / 0 / 7944     | 8475 / 0 / 7928     | 25654 / 0 / 22135    | 7.72 / 0.0 / 5.48       | PreProc-ed 10 rounds            |                   |                    |                  |                |            |                                                         | 0.16       
Disjunctive_Decomposition_bobtuint28neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4597 / 0 / 4596      | 0.28 / 0.0 / 0.23       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2018_stmt19_3_401                                              | Preproc finished unsolved, FG skipped, MUS skipped | 3506 / 0 / 2017     | 3226 / 0 / 1969     | 11892 / 0 / 4823     | 8.11 / 0.0 / 5.72       | PreProc-ed 9 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_query42_query45_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 5021 / 0 / 2706     | 4853 / 0 / 2706     | 40180 / 0 / 2796     | 8.27 / 0.0 / 6.74       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
