Name                                                                  | Status                      | T / B / K Vars       | T / B / K QVars      | T / B / K Clauses       | T / B / K Time            | PreProc Status                 | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                | MUS Status                   | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
Disjunctive_Decomposition_bobsmcodic_all_bit_differing_from_cycle     | FG timed out                | 9267 / 4 / 4152      | 7417 / 4 / 4152      | 33786 / 9 / 8399        | 24.19 / 12.58 / 9.33      | PreProc-ed 5 rounds            | 1.72 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobtuint26neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped. | 1415 / 4 / 1411      | 1203 / 4 / 1199      | 4588 / 10 / 4577        | 1.13 / 0.91 / 0.14        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_stmt19_83_91                                              | FG timed out                | 11134 / 147 / 8490   | 10655 / 112 / 8347   | 43580 / 932 / 28151     | 28.23 / 15.55 / 10.06     | PreProc-ed 7 rounds            | 0.78 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-swap2-fixpoint-8                                    | FG timed out                | 2504 / 0 / 1519      | 1964 / 0 / 1519      | 7227 / 0 / 4382         | 4.63 / 3.05 / 1.31        | PreProc-ed 4 rounds            | 0.06 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc51_signed_64                                      | Preproc Solved, FG skipped. | 4167 / 16 / 4151     | 3783 / 16 / 3767     | 11076 / 16 / 11059      | 1.86 / 1.43 / 0.31        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_sdlx-fixpoint-5                                           | FG timed out                | 8462 / 0 / 6799      | 8051 / 0 / 6799      | 25141 / 0 / 14810       | 19.46 / 9.81 / 8.0        | PreProc-ed 7 rounds            | 0.38 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_rankfunc55_unsigned_64                                    | FG timed out                | 2313 / 8 / 1418      | 2057 / 8 / 1418      | 6207 / 8 / 3411         | 1.63 / 1.03 / 0.45        | PreProc-ed 2 rounds            | 0.08 sec          | 46 / 12 / 8.56978  | 0.07 sec         | 4 iters, 0.86 sec, NonTrivial |                              |                                                         | 10.0       
QBFEval2017_small-swap2-fixpoint-7                                    | MUS timed out               | 2192 / 0 / 1327      | 1712 / 0 / 1327      | 6303 / 0 / 4154         | 5.47 / 3.56 / 1.51        | PreProc-ed 6 rounds            | 0.05 sec          | 61 / 12 / 5.28064  | 0.03 sec         | 3 iters, 0.35 sec, ONE        | MUS TimedOut after 0 rounds  |                                                         | 10.0       
QBFEval2017_pi-bus-fixpoint-2                                         | FG timed out                | 33224 / 13 / 21169   | 29684 / 13 / 21169   | 96657 / 26 / 46321      | 90.08 / 44.6 / 17.16      | PreProc-ed 11 rounds           |                   |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_small-pipeline-fixpoint-1                                 | FG timed out                | 1365 / 0 / 655       | 948 / 0 / 655        | 3483 / 0 / 1476         | 2.2 / 1.06 / 1.0          | PreProc-ed 2 rounds            | 0.03 sec          | 35 / 10 / 6.24428  | 0.12 sec         |                               |                              |                                                         | 10.0       
QBFEval2017_driver_c9y.sat                                            | FG timed out                | 1644 / 1 / 1065      | 1535 / 1 / 1065      | 4687 / 3 / 2096         | 2.43 / 1.67 / 0.62        | PreProc-ed 3 rounds            | 0.05 sec          | 15 / 8 / 9.477     | 0.04 sec         |                               |                              |                                                         | 10.0       
QBFEval2018_cache-coherence-2-fixpoint-5                              | FG timed out                | 9604 / 64 / 5674     | 8776 / 64 / 5674     | 28198 / 132 / 11495     | 18.13 / 8.35 / 7.83       | PreProc-ed 5 rounds            | 1.49 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_query09_query42_1344n                                     | FG timed out                | 9829 / 1 / 5989      | 9649 / 1 / 5989      | 52774 / 1 / 5765        | 27.62 / 15.06 / 7.36      | PreProc-ed 6 rounds            | 3.64 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_GuidanceService2                                          | FG timed out                | 3261 / 58 / 2208     | 3192 / 58 / 2208     | 11491 / 2 / 6109        | 7.83 / 5.59 / 1.68        | PreProc-ed 4 rounds            | 0.13 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt19_64_91                                              | FG timed out                | 8959 / 142 / 6916    | 8480 / 107 / 6773    | 34745 / 937 / 22737     | 23.33 / 12.82 / 8.38      | PreProc-ed 7 rounds            | 0.6 sec           |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_query52_query42_1344n                                     | FG timed out                | 1038 / 17 / 669      | 964 / 17 / 669       | 2439 / 17 / 651         | 1.46 / 0.94 / 0.44        | PreProc-ed 2 rounds            | 0.03 sec          |                    |                  |                               |                              |                                                         | 10.0       
Disjunctive_Decomposition_bobtuint20neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped. | 1415 / 4 / 1411      | 1203 / 4 / 1199      | 4588 / 10 / 4577        | 1.12 / 0.91 / 0.14        | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_rankfunc61_unsigned_64                                    | Preproc Solved, FG skipped. | 4298 / 10 / 4288     | 3914 / 10 / 3904     | 12134 / 10 / 12123      | 2.21 / 1.26 / 0.8         | PreProc-ed 1 rounds            |                   |                    |                  |                               |                              |                                                         |            
QBFEval2017_ltl2dba_C2-8_comp4_REAL.sat                               | FG timed out                | 4715 / 17 / 3221     | 4472 / 17 / 3221     | 13546 / 95 / 6916       | 4.09 / 2.61 / 1.06        | PreProc-ed 2 rounds            | 0.34 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_cache-coherence-3-fixpoint-2                              | FG timed out                | 5488 / 33 / 3109     | 4888 / 33 / 3109     | 15891 / 72 / 6250       | 9.66 / 6.44 / 2.61        | PreProc-ed 3 rounds            | 0.52 sec          |                    |                  |                               |                              |                                                         | 10.0       
QBFEval2017_stmt19_3_401                                              | FG timed out                | 3506 / 5 / 2055      | 3226 / 5 / 2006      | 11892 / 21 / 5059       | 13.99 / 9.52 / 3.67       | PreProc-ed 6 rounds            | 0.26 sec          |                    |                  |                               |                              |                                                         | 10.0       
