Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
Arithmetic_intermediate1024_kissat_output.qdimacs                                           | 0           | 26595         | 10239           | 0              | Yes      
Arithmetic_intermediate128_kissat_output.qdimacs                                            | 0           | 3299          | 1279            | 0              | Yes      
Arithmetic_intermediate256_kissat_output.qdimacs                                            | 0           | 6627          | 2559            | 0              | Yes      
Arithmetic_intermediate32_kissat_output.qdimacs                                             | 0           | 803           | 319             | 0              | No       
Arithmetic_intermediate512_kissat_output.qdimacs                                            | 0           | 13283         | 5119            | 0              | Yes      
Arithmetic_intermediate64_kissat_output.qdimacs                                             | 0           | 1635          | 639             | 0              | No       
Arithmetic_max1024_kissat_output.qdimacs                                                    | 0           | 16217         | 6498            | 0              | Yes      
Arithmetic_max128_kissat_output.qdimacs                                                     | 0           | 1685          | 820             | 0              | Yes      
Arithmetic_max256_kissat_output.qdimacs                                                     | 0           | 3843          | 1634            | 0              | Yes      
Arithmetic_max32_kissat_output.qdimacs                                                      | 0           | 409           | 212             | 0              | Yes      
Arithmetic_max512_kissat_output.qdimacs                                                     | 0           | 7672          | 3252            | 0              | Yes      
Arithmetic_max64_kissat_output.qdimacs                                                      | 0           | 929           | 418             | 0              | Yes      
Arithmetic_min1024_kissat_output.qdimacs                                                    | 0           | 16217         | 6498            | 2              | Yes      
Arithmetic_min128_kissat_output.qdimacs                                                     | 0           | 1686          | 821             | 7              | Yes      
Arithmetic_min256_kissat_output.qdimacs                                                     | 0           | 3843          | 1634            | 2              | Yes      
Arithmetic_min32_kissat_output.qdimacs                                                      | 0           | 410           | 213             | 1              | Yes      
Arithmetic_min512_kissat_output.qdimacs                                                     | 0           | 7677          | 3253            | 1              | Yes      
Arithmetic_min64_kissat_output.qdimacs                                                      | 0           | 929           | 418             | 2              | Yes      
Disjunctive_Decomposition_bobsm5378d2_all_bit_differing_from_cycle_kissat_output.qdimacs    | 0           | 2492          | 1127            | 0              | Yes      
Disjunctive_Decomposition_bobsm9234_all_bit_differing_from_cycle_kissat_output.qdimacs      | 0           | 3982          | 1706            | 0              | Yes      
Disjunctive_Decomposition_bobsmcodic_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 25378         | 11119           | 0              | Yes      
Disjunctive_Decomposition_bobsmfpu_all_bit_differing_from_cycle_kissat_output.qdimacs       | 0           | 54301         | 15280           | 0              | Yes      
Disjunctive_Decomposition_bobsmhdlc1_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 2023          | 1159            | 0              | Yes      
Disjunctive_Decomposition_bobsmhdlc2_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 2590          | 1293            | 0              | Yes      
Disjunctive_Decomposition_bobsmhdlc3_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 2420          | 1274            | 0              | Yes      
Disjunctive_Decomposition_bobsmhdlc_all_bit_differing_from_cycle_kissat_output.qdimacs      | 0           | 2308          | 1239            | 0              | Yes      
Disjunctive_Decomposition_bobsynth00neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth01neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth04neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth06neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth07neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth08neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth09neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth11neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20401         | 10904           | 0              | Yes      
Disjunctive_Decomposition_bobsynth12neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20274         | 10934           | 0              | Yes      
Disjunctive_Decomposition_bobsynth13neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 20274         | 10934           | 0              | Yes      
Disjunctive_Decomposition_bobsynthetic2_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 15104         | 5548            | 0              | Yes      
Disjunctive_Decomposition_bobsynthetic_all_bit_differing_from_cycle_kissat_output.qdimacs   | 0           | 8089          | 2879            | 0              | Yes      
Disjunctive_Decomposition_bobtuint07neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 3431          | 1636            | 0              | Yes      
Disjunctive_Decomposition_bobtuint08neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 3409          | 1657            | 0              | Yes      
Disjunctive_Decomposition_bobtuint10neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 3373          | 1614            | 0              | Yes      
Disjunctive_Decomposition_bobtuint30neg_all_bit_differing_from_cycle_kissat_output.qdimacs  | 0           | 3498          | 1646            | 0              | Yes      
Disjunctive_Decomposition_eijkbs1512_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 1913          | 865             | 0              | Yes      
Disjunctive_Decomposition_eijkbs3330_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 3117          | 1298            | 0              | Yes      
Disjunctive_Decomposition_eijkbs4863_all_bit_differing_from_cycle_kissat_output.qdimacs     | 0           | 5949          | 2050            | 0              | Yes      
