All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
   10014 |     3510 |     0.01 |     1.52 |    56.53 |      304 |      110 |     0.12 |        8 |     0.08 |     2.10 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-3.qdimacs
    1995 |      738 |     0.00 |     0.03 |     2.18 |      116 |       25 |     0.02 |        6 |     0.03 |     0.13 |          |                  |          |       0.000 |       0.000 |      | query01_query42_1344n.qdimacs
   10621 |     3919 |     0.01 |     1.79 |    61.31 |      390 |      128 |     0.17 |        4 |     0.07 |     2.48 |          |                  |          |       0.000 |       0.000 |      | rankfunc52_unsigned_64.qdimacs
   34745 |     8959 |     0.04 |    11.13 |   478.00 |      712 |      292 |     1.36 |        5 |     0.22 |    14.62 |          |                  |          |       0.000 |       0.000 |      | stmt17_74_78.qdimacs
    1727 |      597 |     0.00 |     0.03 |     1.57 |      103 |       20 |     0.02 |        5 |     0.02 |     0.08 |          |                  |          |       0.000 |       0.000 |    Y | query05_query31_1344n.qdimacs
    3624 |     1121 |     0.00 |     0.08 |     3.96 |       78 |       41 |     0.02 |       11 |     0.03 |     0.26 |          |                  |          |       0.000 |       0.000 |      | stmt41_262_275.qdimacs
   14158 |     4885 |     0.02 |     3.39 |   126.73 |      450 |      159 |     0.29 |        3 |     0.12 |     4.43 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#118.A#48.c#.w#5.s#7.asp.qdimacs
    3103 |     1163 |     0.00 |     0.11 |     4.13 |      127 |       38 |     0.02 |        4 |     0.02 |     0.23 |          |                  |          |       0.000 |       0.000 |      | rankfunc55_unsigned_32.qdimacs
   20492 |    12261 |     0.02 |    23.16 |   665.49 |     1821 |      396 |     2.95 |        4 |     2.90 |    31.72 |          |                  |          |       0.000 |       0.000 |      | sortnetsort10.AE.stepl.012.qdimacs
    2703 |     1182 |     0.00 |     0.13 |     5.99 |      148 |       37 |     0.02 |        5 |     0.04 |     0.24 |          |                  |          |       0.000 |       0.000 |      | query31_query42_1344n.qdimacs
